"Do you know any prayers, my friend?",Sir Guy of Gisbourne ,by Basil Rathbone,in The Adventure of Robin Hood,1938
"You would not kill a man for telling the truth, would you?",Robin Hood ,by Errol Flynn,in The Adventure of Robin Hood,1938
Such insolence must support a healthy appetite!,Prince John ,by Claude Rains,in The Adventure of Robin Hood,1938
Urry up and take that ugly face of yours out of 'ere! ,Bess,by Una O'Connor,in The Adventure of Robin Hood,1938
"You still don't understand what you're dealing with, do you?",Ash ,by Ian Holm,in Alien,1979
"I can't lie to you about your chances, but... you have my sympathies.",Ash,by Ian Holm,in Alien,1979
You... BITCH!,Ripley ,by Sigourney Weaver,in Alien,1979
I don't trust him.,Ripley ,by Sigourney Weaver,in Alien,1979
"There is an explanation for this, you know.",Ash,by Ian Holm,in Alien,1979
"You are my lucky star. You... Lucky, lucky, lucky, lucky, lucky.",Ripley,by Sigourney Weaver,in Alien,1979
We don't know if it's intelligent.,Brett,by Harry Dean Stanton,in Alien,1979
"This is the worst shit I've ever seen, man.",Brett,by Harry Dean Stanton,in Alien,1979
You're goddamn right!,Dallas,by Tom Skerritt,in Alien,1979
"That's it, man. Game over, man. Game over! ",Hudson ,by Bill Paxton,in Aliens,1986
"Maybe we can build a fire, sing a couple of songs, huh? Why don't we try that?",Burke ,by Paul Reiser,in Aliens,1986
Stop your grinnin' and drop your linen!,Hudson,by Bill Paxton,in Aliens,1986
"Yes, honey. I think we both can.",Ripley,by Sigourney Weaver,in Aliens,1986
Now go to sleep and don't dream.,Ripley,by Sigourney Weaver,in Aliens,1986
Because it's judgment that defeats us.,Colonel Walter E. Kurtz ,by Marlon Brando ,in Apocalypse Now,1979
Everyone gets everything he wants. ,Captain Benjamin L. Willard ,by Martin Sheen,in Apocalypse Now,1979
"You can either surf, or you can fight!",Lieutenant Colonel Bill Kilgore ,by Robert Duvall,in Apocalypse Now,1979
Have you ever considered any real freedoms? Freedoms from the opinion of others... even the opinions of yourself?,Colonel Walter E. Kurtz ,by Marlon Brando ,in Apocalypse Now,1979
"You are like a baby. Making noise, don't know what to do. ",Neytiri ,by Zoe Saldana,in Avatar,2009
Easy. Easy... ,Jake Sully ,by Sam Worthington,in Avatar,2009
It is hard to fill a cup that is already full.,Moat ,by CCH Pounder,in Avatar,2009
Shut up and fly straight!,Jake Sully ,by Sam Worthington,in Avatar,2009
Hold on a second.,Trudy Chacon ,by Michelle Rodriguez,in Avatar,2009
Run! Definitely run!,Dr. Grace Augustine,by Sigourney Weaver,in Avatar,2009
I thought you'd never ask.,Jake Sully ,by Sam Worthington,in Avatar,2009
Think fast.,Dr. Grace Augustine,by Sigourney Weaver,in Avatar,2009
Sometimes your whole life boils down to one insane move.,Jake Sully,by Sam Worthington,in Avatar,2009
Don't play with that. You'll go blind.,Dr. Grace Augustine,by Sigourney Weaver,in Avatar,2009
"Sooner or later, though, you always have to wake up.",Jake Sully,by Sam Worthington,in Avatar,2009
It was worth a try.,Jake Sully,by Sam Worthington,in Avatar,2009
"You have to leave, or you're gonna die!",Jake Sully,by Sam Worthington,in Avatar,2009
This is great!,Jake Sully,by Sam Worthington,in Avatar,2009
"Tell me something, my friend. You ever dance with the devil in the pale moonlight?",The Joker ,by Jack Nicholson,in Batman,1989
You must be joking.,Vicki Vale ,by Kim Basinger,in Batman,1989
LIGHTS OUT! Now you wanna get nuts? Come on! Let's get nuts.,Batman ,by Michael Keaton,in Batman,1989
"Well, I mean, let's face it. You're not exactly normal, are you?",Vicki Vale ,by Kim Basinger,in Batman,1989
Haven't you ever heard of the healing power of laughter?,The Joker ,by Jack Nicholson,in Batman,1989
"But, as my plastic surgeon always said: if you gotta go, go with a smile.",The Joker ,by Jack Nicholson,in Batman,1989
Forget about it.,Axel Foley ,by Eddie Murphy,in Beverly Hills Cop,1984
Let's hear your side of the story.,Axel Foley ,by Eddie Murphy,in Beverly Hills Cop,1984
You changed man!,Axel Foley ,by Eddie Murphy,in Beverly Hills Cop,1984
Killing insane people is not good for public relations.,The Sergeant ,by Lee Marvin,in The Big Red One,1980
"Quite an experience to live in fear, isn't it? That's what it is to be a slave.",Roy Batty ,by Rutger Hauer,in Blade Runner,1982
"You reach down and you flip the tortoise over on its back, Leon.",Holden ,by Morgan Paull,in Blade Runner,1982
I had in mind something a little more radical.,Roy Batty ,by Rutger Hauer,in Blade Runner,1982
Nothing is worse than having an itch you can never scratch!,Leon Kowalski ,by Brion James,in Blade Runner,1982
That's no way to treat a friend.,Rick Deckard ,by Harrison Ford,in Blade Runner,1982
"Every man dies, not every man really lives.",William Wallace ,by Mel Gibson,in Braveheart,1995
You all right? You look a wee bit shaky.,William Wallace ,by Mel Gibson,in Braveheart,1995
Your heart is free. Have the courage to follow it.,Malcolm Wallace ,by Sean Lawlor,in Braveheart,1995
"If your wit were as big as your voice, me dear, it's the great man you'd be by this.",Dr. Peter Blood ,by Errol Flynn,in Captain Blood,1935
And that my friend ends a partnership that should never have begun.,Dr. Peter Blood ,by Errol Flynn,in Captain Blood,1935
A fella can get rich if he's lucky.,Honesty Nuttall ,by Forrester Harvey,in Captain Blood,1935
